22,312,0,617,971,611,1,-1,-1,-1
23,312,0,626,1181,665,1,-1,-1,-1
24,312,44,619,1453,761,1,-1,-1,-1
25,312,157,630,1624,828,1,-1,-1,-1
26,312,270,642,1794,897,1,-1,-1,-1
27,312,466,658,1896,955,1,-1,-1,-1
28,312,662,673,1898,1013,1,-1,-1,-1
55,314,1373,488,1187,535,1,-1,-1,-1
56,314,1315,492,1245,529,1,-1,-1,-1
57,314,1241,488,1319,542,1,-1,-1,-1
58,314,1166,488,1394,542,1,-1,-1,-1
59,314,1063,457,1489,593,1,-1,-1,-1
60,314,989,485,1459,547,1,-1,-1,-1
61,314,848,450,1579,607,1,-1,-1,-1
62,314,717,445,1561,628,1,-1,-1,-1
63,314,695,451,1506,612,1,-1,-1,-1
64,314,591,490,1451,544,1,-1,-1,-1
65,314,494,459,1476,603,1,-1,-1,-1
66,314,317,457,1520,614,1,-1,-1,-1
67,314,252,492,1419,542,1,-1,-1,-1
68,314,140,498,1412,534,1,-1,-1,-1
69,314,15,494,1412,544,1,-1,-1,-1
70,314,0,496,1304,542,1,-1,-1,-1
71,314,0,503,1174,531,1,-1,-1,-1
82,306,1395,492,1165,523,1,-1,-1,-1
83,306,1256,488,1304,535,1,-1,-1,-1
84,306,1116,488,1440,533,1,-1,-1,-1
85,306,923,454,1511,580,1,-1,-1,-1
86,306,831,492,1438,531,1,-1,-1,-1
87,306,682,492,1442,527,1,-1,-1,-1
88,313,0,675,1947,912,1,-1,-1,-1
89,313,183,652,2196,935,1,-1,-1,-1
90,313,594,645,1966,927,1,-1,-1,-1
91,306,84,501,1412,531,1,-1,-1,-1
92,306,0,501,1341,533,1,-1,-1,-1
93,306,0,505,1185,531,1,-1,-1,-1
97,299,1779,490,781,360,1,-1,-1,-1
98,299,1632,490,928,377,1,-1,-1,-1
99,299,1558,489,965,377,1,-1,-1,-1
100,299,1422,493,974,366,1,-1,-1,-1
101,299,1320,492,965,367,1,-1,-1,-1
102,299,1218,491,955,367,1,-1,-1,-1
103,299,1122,493,949,365,1,-1,-1,-1
104,299,1026,495,942,363,1,-1,-1,-1
105,299,958,492,899,360,1,-1,-1,-1
106,299,889,488,855,356,1,-1,-1,-1
107,299,818,490,837,350,1,-1,-1,-1
108,299,746,492,820,345,1,-1,-1,-1
109,299,675,494,802,339,1,-1,-1,-1
110,299,617,494,783,337,1,-1,-1,-1
111,299,559,493,763,335,1,-1,-1,-1
